10857,1,125758,0
10857,1,130132,0
10857,1,132690,0
10857,1,141652,0
10857,1,184500,0
10857,1,202403,0
10857,1,207418,0
10857,1,239220,0
10857,1,251320,0
10857,1,255718,0
10857,1,286559,0
10857,1,291372,0
10857,1,328946,0
10857,1,455768,0
10857,1,497956,0
10857,1,57075,0
10857,1,599155,0
10857,1,610080,0
10857,1,753022,0
10857,1,87848,0
10857,2,137341,0
10857,2,140784,0
10857,2,142659,0
10857,2,151046,0
10857,2,153860,0
10857,2,184585,0
10857,2,1849814,0
10857,2,190246,0
10857,2,195039,0
10857,2,204300,0
10857,2,222166,0
10857,2,260618,0
10857,2,260620,0
10857,2,45656,0
10857,2,54038,0
10857,2,706282,0
10857,2,83551,0
10857,2,87657,0
10857,2,943121,0
10857,2,951958,0
10857,3,1062687,0
10857,3,1307256,0
10857,3,139861,0
10857,3,1630600,0
10857,3,167040,0
10857,3,174593,0
10857,3,182731,0
10857,3,184544,0
10857,3,194438,0
10857,3,272002,0
10857,3,291011,0
10857,3,291057,0
10857,3,351576,0
10857,3,417584,0
10857,3,449467,0
10857,3,493333,0
10857,3,599269,0
10857,3,60937,0
10857,3,88855,0
10857,3,95738,0
10857,4,1311043,0
10857,4,131662,0
10857,4,132506,0
10857,4,1430071,0
10857,4,167022,0
10857,4,174553,0
10857,4,174566,0
10857,4,174591,0
10857,4,182737,0
10857,4,290966,0
10857,4,290978,0
10857,4,342150,0
10857,4,54032,0
10857,4,56464,0
10857,4,59609,0
10857,4,62423,0
10857,4,642090,0
10857,4,65455,0
10857,4,66429,0
10857,4,81864,0
10857,5,108456,0
10857,5,120026,0
10857,5,127251,0
10857,5,1430009,0
10857,5,153293,0
10857,5,153387,0
10857,5,159629,0
10857,5,1655330,0
10857,5,174541,0
10857,5,182704,0
10857,5,182719,0
10857,5,182747,0
10857,5,189435,0
10857,5,290884,0
10857,5,291026,0
10857,5,45642,0
10857,5,45663,0
10857,5,52039,0
10857,5,60928,0
10857,5,844619,0
10857,6,175349,0
10857,6,175557,0
10857,6,182674,0
10857,6,182697,0
